State,Severity,End_Time,Temperature(F),Wind_Chill(F),Visibility(mi),Precipitation(in)
MT,2,6,12.9,6.9,10.0,0.0
IL,3,2,18.0,7.7,0.5,0.01
WI,4,2,10.0,0.4,10.0,0.0
IL,2,2,14.0,0.5,0.8,0.0
NY,3,3,26.1,19.4,1.5,0.0
IN,4,3,7.0,-1.7,10.0,0.0
IL,2,2,32.0,21.2,8.0,0.0
CA,2,4,46.0,41.9,10.0,0.0
MO,3,1,36.0,27.1,9.0,0.0
NJ,2,2,33.1,28.7,5.0,0.0
VA,2,2,35.1,27.4,5.0,0.0
