State,End_Time,Severity,Temperature(F),Wind_Chill(F),Visibility(mi),Precipitation(in)
NJ,2,2,30.0,17.9,5.0,0.02
NJ,2,2,32.0,25.6,8.0,0.0
MD,2,3,32.0,25.6,10.0,0.04
OH,2,2,34.0,26.0,7.0,0.01
VA,2,3,39.9,30.8,2.0,0.1
MN,2,3,30.9,23.5,6.0,0.0
IA,2,3,39.9,32.5,10.0,0.0
MA,3,2,33.1,25.5,1.0,0.01
NJ,3,3,30.0,18.3,1.0,0.01
PA,3,2,34.0,24.2,1.8,0.01
NY,3,3,32.0,24.2,1.0,0.01
PA,3,3,32.0,27.5,2.0,0.03
PA,3,3,26.6,15.2,1.0,0.01
PA,3,2,30.9,23.5,0.5,0.0
PA,3,2,32.0,22.5,0.5,0.04
PA,3,2,33.1,24.9,1.5,0.01
OH,3,2,30.0,20.0,2.0,0.01
OH,3,2,27.0,16.1,6.0,0.0
OH,3,3,30.0,18.3,3.0,0.0
NC,3,2,37.0,31.0,10.0,0.01
NC,3,2,37.0,31.6,3.0,0.03
VA,3,3,32.0,25.6,1.2,0.06
NC,3,3,33.1,30.0,2.0,0.0
NC,3,2,34.0,29.8,8.0,0.0
NC,3,2,35.1,28.6,5.0,0.0
VA,3,3,35.1,26.9,1.5,0.01
NC,3,2,42.1,37.7,10.0,0.0
MA,4,2,34.0,25.5,1.0,0.0
WA,4,2,45.0,40.1,10.0,0.0
WA,4,2,46.0,43.9,10.0,0.0
WA,5,2,39.9,34.5,10.0,0.0
NC,6,2,39.9,35.1,10.0,0.02
GA,7,2,42.1,37.7,8.0,0.0
CA,7,2,46.0,42.5,7.0,0.04
MN,1,3,34.0,28.0,5.0,0.1
MN,1,3,35.1,27.9,6.0,0.0
MN,1,3,33.1,28.7,4.0,0.15
WI,1,3,45.0,37.6,7.0,0.03
MI,2,3,45.0,38.2,8.0,0.06
NC,2,3,46.0,42.5,10.0,0.0
MI,2,2,39.9,32.1,7.0,0.01
NC,2,2,41.0,37.1,10.0,0.0
NY,3,3,35.6,29.9,10.0,9.99
MN,3,3,19.0,2.7,10.0,0.0
NH,4,2,27.0,23.0,1.5,0.01
NH,4,3,33.1,27.7,10.0,0.0
PA,4,2,30.0,23.2,1.5,0.0
OH,4,3,45.0,38.5,8.0,0.0
TN,4,2,42.1,34.5,10.0,0.0
CO,4,2,24.8,16.1,1.5,0.0
WA,4,4,46.0,44.8,8.0,0.07
NY,5,2,32.0,22.5,0.8,0.0
SC,5,2,37.9,35.5,10.0,0.01
MI,7,3,26.1,14.5,1.5,0.01
MI,7,3,23.0,9.6,5.0,0.0
MI,1,3,12.0,-1.3,10.0,0.0
NY,7,3,33.1,28.7,2.0,0.02
IN,7,3,23.0,10.1,0.8,0.0
NC,7,3,32.0,23.6,2.0,0.16
KS,7,3,15.1,1.8,10.0,0.0
NY,1,2,37.0,24.5,10.0,0.0
KY,1,3,18.0,6.9,9.0,0.0
OH,1,2,15.1,5.2,7.0,0.0
IL,1,2,10.0,-2.9,0.2,0.02
IL,1,2,12.0,-0.4,1.0,0.0
IL,1,2,10.0,0.4,0.8,0.03
WA,1,2,45.0,43.5,9.0,0.03
MI,2,2,16.0,7.4,7.0,0.0
