P1	P2	A	D
-1.086599900958499010e+00	-3.752270329455205666e-01	2.000000000000000000e+00	5.000000000000000000e+00
-1.184545786858001826e+00	-1.401534180266655882e-01	2.000000000000000000e+00	5.000000000000000000e+00
-1.510931112736256798e+00	7.322011561323137074e-02	2.000000000000000000e+00	5.000000000000000000e+00
5.962824170932979895e-01	-1.884115074907547482e+00	3.000000000000000000e+00	6.000000000000000000e+00
-2.290054879125161147e+00	-2.087530553511623754e+00	3.000000000000000000e+00	7.000000000000000000e+00
-5.721955869703897468e-01	1.449389251050638538e+00	2.000000000000000000e+00	1.000000000000000000e+00
5.156502624873524621e-01	8.748254377350087596e-01	2.000000000000000000e+00	2.000000000000000000e+00
4.143858102562202328e-01	5.034753770957393071e-01	2.000000000000000000e+00	3.000000000000000000e+00
-2.615193150209994544e-01	-1.061763201258592471e+00	3.000000000000000000e+00	4.000000000000000000e+00
-1.352785852439328362e+00	1.823573785020076443e-01	2.000000000000000000e+00	4.000000000000000000e+00
-3.181563111346675798e-01	-1.002613811049857029e+00	3.000000000000000000e+00	4.000000000000000000e+00
-2.623165647959711522e-01	2.709632071064800307e-01	2.000000000000000000e+00	4.000000000000000000e+00
6.839186588890637519e-02	4.975601519020532160e-01	2.000000000000000000e+00	4.000000000000000000e+00
